store_nbr,day_month,day_rep,day_off_store
1,01-01,4,1
1,12-25,4,1
2,01-01,4,1
2,12-25,4,1
3,01-01,4,1
3,12-25,4,1
4,01-01,4,1
4,12-25,4,1
5,01-01,4,1
5,12-25,4,1
6,01-01,4,1
6,12-25,4,1
7,01-01,4,1
7,12-25,4,1
8,01-01,4,1
8,12-25,4,1
9,01-01,4,1
9,12-25,4,1
10,01-01,4,1
10,12-25,4,1
11,01-01,4,1
11,12-25,4,1
12,01-01,4,1
12,12-25,4,1
13,01-01,4,1
13,12-25,4,1
14,01-01,4,1
14,12-25,4,1
15,01-01,4,1
15,12-25,4,1
16,01-01,4,1
16,12-25,4,1
17,01-01,4,1
17,12-25,4,1
18,01-01,4,1
18,12-25,4,1
19,01-01,4,1
19,12-25,4,1
20,01-01,4,1
20,12-25,4,1
21,01-01,4,1
21,12-25,4,1
22,01-01,4,1
22,12-25,4,1
23,01-01,4,1
23,12-25,4,1
24,01-01,4,1
24,12-25,4,1
25,12-25,4,1
26,01-01,4,1
26,12-25,4,1
27,01-01,4,1
27,12-25,4,1
28,01-01,4,1
28,12-25,4,1
29,01-01,4,1
29,12-25,4,1
30,01-01,4,1
30,12-25,4,1
31,01-01,4,1
31,12-25,4,1
32,01-01,4,1
32,12-25,4,1
33,01-01,4,1
33,12-25,4,1
34,01-01,4,1
34,12-25,4,1
35,01-01,4,1
35,12-25,4,1
36,12-25,4,1
37,01-01,4,1
37,12-25,4,1
38,01-01,4,1
38,12-25,4,1
39,01-01,4,1
39,12-25,4,1
40,01-01,4,1
40,12-25,4,1
41,01-01,4,1
41,12-25,4,1
42,01-01,4,1
42,12-25,4,1
43,01-01,4,1
43,12-25,4,1
44,01-01,4,1
44,12-25,4,1
45,01-01,4,1
45,12-25,4,1
46,01-01,4,1
46,12-25,4,1
47,01-01,4,1
47,12-25,4,1
48,01-01,4,1
48,12-25,4,1
49,01-01,4,1
49,12-25,4,1
50,01-01,4,1
50,12-25,4,1
51,01-01,4,1
51,12-25,4,1
52,01-01,4,1
52,01-02,4,1
52,01-03,4,1
52,01-04,4,1
52,01-05,4,1
52,01-06,4,1
52,01-07,4,1
52,01-08,4,1
52,01-09,4,1
52,01-10,4,1
52,01-11,4,1
52,01-12,4,1
52,01-13,4,1
52,01-14,4,1
52,01-15,4,1
52,01-16,4,1
52,01-17,4,1
52,01-18,4,1
52,01-19,4,1
52,01-20,4,1
52,01-21,4,1
52,01-22,4,1
52,01-23,4,1
52,01-24,4,1
52,01-25,4,1
52,01-26,4,1
52,01-27,4,1
52,01-28,4,1
52,01-29,4,1
52,01-30,4,1
52,01-31,4,1
52,02-01,4,1
52,02-02,4,1
52,02-03,4,1
52,02-04,4,1
52,02-05,4,1
52,02-06,4,1
52,02-07,4,1
52,02-08,4,1
52,02-09,4,1
52,02-10,4,1
52,02-11,4,1
52,02-12,4,1
52,02-13,4,1
52,02-14,4,1
52,02-15,4,1
52,02-16,4,1
52,02-17,4,1
52,02-18,4,1
52,02-19,4,1
52,02-20,4,1
52,02-21,4,1
52,02-22,4,1
52,02-23,4,1
52,02-24,4,1
52,02-25,4,1
52,02-26,4,1
52,02-27,4,1
52,02-28,4,1
52,03-01,4,1
52,03-02,4,1
52,03-03,4,1
52,03-04,4,1
52,03-05,4,1
52,03-06,4,1
52,03-07,4,1
52,03-08,4,1
52,03-09,4,1
52,03-10,4,1
52,03-11,4,1
52,03-12,4,1
52,03-13,4,1
52,03-14,4,1
52,03-15,4,1
52,03-16,4,1
52,03-17,4,1
52,03-18,4,1
52,03-19,4,1
52,03-20,4,1
52,03-21,4,1
52,03-22,4,1
52,03-23,4,1
52,03-24,4,1
52,03-25,4,1
52,03-26,4,1
52,03-27,4,1
52,03-28,4,1
52,03-29,4,1
52,03-30,4,1
52,03-31,4,1
52,04-01,4,1
52,04-02,4,1
52,04-03,4,1
52,04-04,4,1
52,04-05,4,1
52,04-06,4,1
52,04-07,4,1
52,04-08,4,1
52,04-09,4,1
52,04-10,4,1
52,04-11,4,1
52,04-12,4,1
52,04-13,4,1
52,04-14,4,1
52,04-15,4,1
52,04-16,4,1
52,04-17,4,1
